2021/11/16-09:22:08:145 | INFO  | LibnodaveResource starting
------------------------|-------|---------------------------
2021/11/16-09:25:14:429 | INFO  | LibnodaveResource starting
------------------------|-------|---------------------------
2021/11/16-09:26:51:830 | INFO  | LibnodaveResource starting
------------------------|-------|---------------------------
2021/11/16-09:35:55:663 | INFO  | LibnodaveResource starting
------------------------|-------|---------------------------
2021/11/16-09:37:00:766 | INFO  | LibnodaveResource starting
------------------------|-------|---------------------------
2021/11/16-09:37:07:148 | ERROR | LibnodaveResource failure: 0001/01/01-00:00:00:000; 
------------------------|-------|-----------------------------------------------------
2021/11/16-09:37:12:041 | ERROR | Unable to connect to the PLC at localhost! (Error code: -1)
------------------------|-------|------------------------------------------------------------
2021/11/16-09:37:52:795 | INFO  | LibnodaveResource starting
------------------------|-------|---------------------------
2021/11/16-09:37:52:841 | ERROR | LibnodaveResource failure: 0001/01/01-00:00:00:000; 
------------------------|-------|-----------------------------------------------------
2021/11/16-09:37:52:841 | ERROR | Unable to connect to the PLC at localhost! (Error code: -1)
------------------------|-------|------------------------------------------------------------
